address,latitude,longitude
부산광역시 금정구 금샘로 16(장전동)  | 영업시간 : 06:00 ~ 00:00,0,0
부산광역시 서구 해돋이로 32  | 영업시간 : 07:00 ~ 01:00,0,0
부산광역시 수영구 광남로 48-1  | 영업시간 : 06:00 ~ 00:00,0,0
부산광역시 중구 구덕로 72  | 영업시간 : 06:00 ~ 00:00,0,0
부산광역시 금정구 중앙대로 2235  | 영업시간 : 06:00 ~ 00:00,0,0
부산광역시 사하구 다대동로 45  | 영업시간 : 00:00 ~ 00:00,0,0
부산광역시 사하구 다대로 613  | 영업시간 : 07:00 ~ 01:00,0,0
부산광역시 금정구 금강로335번길 106  | 영업시간 : 06:00 ~ 00:00,0,0
부산광역시 남구 유엔로201번길 78  | 영업시간 : 07:00 ~ 01:00,0,0
부산광역시 강서구 공항앞길163번길 111  | 영업시간 : 06:00 ~ 00:00,0,0
부산광역시 금정구 금정로60번길 15  | 영업시간 : 06:00 ~ 00:00,0,0
부산광역시 금정구 금강로321번길 45  | 영업시간 : 00:00 ~ 00:00,0,0
부산광역시 금정구 금강로 248-4  | 영업시간 : 06:00 ~ 00:00,0,0
부산광역시 금정구 금강로 271-4  | 영업시간 : 07:00 ~ 01:00,0,0
부산광역시 사상구 냉정로 117  | 영업시간 : 00:00 ~ 00:00,0,0
부산광역시 사하구 낙동대로536번길 18  | 영업시간 : 06:00 ~ 00:00,0,0
부산광역시 사상구 모덕로 86(덕포동)  | 영업시간 : 00:00 ~ 00:00,0,0
부산광역시 사상구 백양대로 420 본관1층 | 영업시간 : 08:00 ~ 22:00,0,0
부산광역시 금정구 동현로 28  | 영업시간 : 00:00 ~ 00:00,0,0
부산광역시 부산진구 시민공원로19번길 36  | 영업시간 : 06:00 ~ 00:00,0,0
부산광역시 중구 흑교로 29  | 영업시간 : 06:00 ~ 00:00,0,0
부산광역시 기장군 장안읍 정관로 1133 4층 430호 | 영업시간 : 10:30 ~ 21:00,0,0
부산광역시 사하구 승학로 190  | 영업시간 : 00:00 ~ 00:00,0,0
부산광역시 부산진구 월드컵대로449번길 55  | 영업시간 : 06:00 ~ 00:00,0,0
부산광역시 연제구 연제로42번길 28-20  | 영업시간 : 06:00 ~ 00:00,0,0
부산광역시 사상구 백양대로700번길 16  | 영업시간 : 00:00 ~ 00:00,0,0
부산광역시 남구 신선로 219 1층 | 영업시간 : 06:00 ~ 00:00,0,0
부산광역시 사하구 하신번영로151번길 30  | 영업시간 : 06:00 ~ 01:00,0,0
부산광역시 사하구 장평로 339  | 영업시간 : 07:00 ~ 00:00,0,0
부산광역시 강서구 신항남로 507  | 영업시간 : 07:00 ~ 22:00,0,0
부산광역시 강서구 신호산단5로 72  | 영업시간 : 06:00 ~ 00:00,0,0
부산광역시 사상구 엄궁로 186  | 영업시간 : 06:00 ~ 00:00,0,0
부산광역시 동구 중앙대로196번길 12-7  | 영업시간 : 06:00 ~ 00:00,0,0
부산광역시 금정구 두실로 43 (구서동 탄젠트수학전문학원)  | 영업시간 : 06:00 ~ 00:00,0,0
부산광역시 기장군 일광면 삼성길 9-3 101호 | 영업시간 : 00:00 ~ 00:00,0,0
부산광역시 사하구 장림로 219  | 영업시간 : 00:00 ~ 00:00,0,0
부산광역시 사하구 장림번영로 38-1  | 영업시간 : 06:00 ~ 00:00,0,0
부산광역시 해운대구 세실로 126 상가동 103호 | 영업시간 : 06:00 ~ 00:00,0,0
부산광역시 중구 중앙대로41번길 14-1  | 영업시간 : 07:00 ~ 01:00,0,0
부산광역시 부산진구 신천대로220번길 77-10  | 영업시간 : 06:00 ~ 00:00,0,0
부산광역시 동구 고관로 46(초량동)  | 영업시간 : 06:00 ~ 00:00,0,0
부산광역시 서구 초장로 8  | 영업시간 : 07:00 ~ 01:00,0,0
부산광역시 중구 대영로 224  | 영업시간 : 00:00 ~ 00:00,0,0
부산광역시 서구 까치고개로 229  | 영업시간 : 00:00 ~ 00:00,0,0
부산광역시 강서구 화전산단2로 136  | 영업시간 : 06:00 ~ 23:00,0,0
