index,address,latitude,longitude,cvs
172,부산광역시 동래구 차밭골로20번길 3,0,0,7eleven
173,부산광역시 해운대구 해운대로 540 해운대동백두산위브더제니스 제지하1층104호,0,0,7eleven
174,부산광역시 영도구 상리로 33 1층일부,0,0,7eleven
175,부산광역시 사상구 가야대로366번길 14 1층 코너부분,0,0,7eleven
176,부산광역시 사하구 승학로 17번길 73,0,0,7eleven
177,부산광역시 금정구 체육공원로 541,0,0,7eleven
178,부산광역시 해운대구 양운로 182 ,0,0,7eleven
179,부산광역시 동래구 우장춘로56번길 3,0,0,7eleven
180,부산광역시 동구 중앙대로274번길 7-3 제1층 102호,0,0,7eleven
181,부산광역시 연제구 월드컵대로 55,0,0,7eleven
182,부산시 부산진구 가야대로 772 ,0,0,7eleven
183,부산광역시 기장군 기장읍 동암해안길 30 1층,0,0,7eleven
184,부산광역시 부산진구 전포대로275번길 20 서면롯데캐슬스카이 102-118,0,0,7eleven
185,부산광역시 연제구 월드컵대로252번길 5,0,0,7eleven
186,부산광역시 부산진구 가야대로 772,0,0,7eleven
187,부산광역시 동래구 명륜로112번길 41 ,0,0,7eleven
188,부산광역시 수영구 망미로22번길 42 ,0,0,7eleven
189,부산광역시 수영구 연수로 263번길 13 ,0,0,7eleven
190,부산광역시 수영구 연수로310번길 26 ,0,0,7eleven
191,부산광역시 수영구 연수로337-1 1층 전체,0,0,7eleven
192,부산광역시 동래구 명륜로 222 ,0,0,7eleven
193,부산광역시 동래구 명륜로 120-1,0,0,7eleven
194,부산광역시 강서구 명지오션시티8로34번길 30 ,0,0,7eleven
195,부산광역시 강서구 명지오션시티3로 23 102,0,0,7eleven
196,부산광역시 강서구 명지국제6로 99 에이동 1층 143-1호,0,0,7eleven
197,부산광역시 강서구 명지국제8로 19 ,0,0,7eleven
198,부산시 강서구 명지오션시티 11로 84 명지동 롯데캐슬 아파트,0,0,7eleven
199,부산광역시 강서구 명지오션시티12로 10 상가동 101호,0,0,7eleven
200,부산광역시 강서구 명지국제5로 148번길 10,0,0,7eleven
201,부산광역시 강서구 명지오션시티9로 49 ,0,0,7eleven
202,부산광역시 강서구 명지국제8로 235 ,0,0,7eleven
203,부산광역시 강서구 명지국제7로 37 ,0,0,7eleven
204,부산광역시 사상구 사상로525번길 28 ,0,0,7eleven
205,부산광역시 사상구 백양대로 954,0,0,7eleven
206,부산시 부산진구 모라로 67 ,0,0,7eleven
207,부산광역시 사상구 백양대로934번길 56 2층 ,0,0,7eleven
208,부산광역시 남구 전포대로 90 대진소방 1층,0,0,7eleven
209,부산광역시 남구 수영로39번가길 83,0,0,7eleven
210,부산광역시 남구 전포대로 64,0,0,7eleven
211,부산광역시 남구 수영로 17 ,0,0,7eleven
212,부산광역시 남구 고동골로59번길 86 동춘자기 1층,0,0,7eleven
213,부산광역시 남구 고동골로28번길 3 1층,0,0,7eleven
214,부산광역시 남구 장고개로 105 ,0,0,7eleven
215,부산광역시 남구 문현로23번길 49 제1층,0,0,7eleven
216,부산광역시 연제구 월드컵대로58번길 7 ,0,0,7eleven
217,부산광역시 강서구 미음산단로127번길 22 ,0,0,7eleven
218,부산광역시 수영구 민락본동로11번길 59 1층,0,0,7eleven
219,부산광역시 수영구 민락수변로7번길 60,0,0,7eleven
220,부산시 부산진구 서전로 25 ,0,0,7eleven
221,부산광역시 해운대구 반송로 924번길 21,0,0,7eleven
222,부산광역시 해운대구 신반송로 102 상가213동 지하101,0,0,7eleven
223,부산광역시 해운대구 반송로828번길 2 1층,0,0,7eleven
224,부산광역시 해운대구 재반로270번길 33 나폴리피자,0,0,7eleven
225,부산광역시 해운대구 선수촌로 97,0,0,7eleven
226,부산광역시 해운대구 선수촌로 21번길 21 ,0,0,7eleven
227,부산광역시 북구 학사로17번길 4 102호,0,0,7eleven
228,부산광역시 연제구 연수로 224 ,0,0,7eleven
229,부산광역시 부산진구 동평로 59,0,0,7eleven
230,부산광역시 부산진구 백양산로 70 쌍용스윗닷홈단지상가102호,0,0,7eleven
231,부산광역시 동구 망양로 964 ,0,0,7eleven
232,부산광역시 강서구 범방3로71번길 14 ,0,0,7eleven
233,부산광역시 동구 초량중로 117,0,0,7eleven
234,부산광역시 동구 중앙대로 501 ,0,0,7eleven
235,부산광역시 동구 범일로90번길 17,0,0,7eleven
236,부산광역시 부산진구 자유평화로37번길 51 더샵골드3 102호,0,0,7eleven
237,부산광역시 부산진구 범일로 176 ,0,0,7eleven
238,부산광역시 부산진구 황령대로 23 세운이노빌 ,0,0,7eleven
239,부산광역시 부산진구 만리산로 110 ,0,0,7eleven
240,부산광역시 부산진구 황령대로7번길 30 1층,0,0,7eleven
