address,latitude,longitude,cvs
부산광역시 연제구 마곡천로 54  ,0,0,emart24
부산광역시 연제구 월드컵대로188번길 12,0,0,emart24
부산광역시 부산진구 동평로235번길 33  ,0,0,emart24
부산광역시 영도구 봉래나루로 82 로비층 ,0,0,emart24
부산광역시 영도구 동삼로 105  ,0,0,emart24
부산광역시 영도구 동삼로 55-1  ,0,0,emart24
부산광역시 해운대구 아랫반송로59번길 53  ,0,0,emart24
부산광역시 남구 전포대로 133 172호 ,0,0,emart24
부산광역시 동래구 중앙대로1473번길 24  ,0,0,emart24
부산광역시 동래구 중앙대로1493번길 16  ,0,0,emart24
부산광역시 동래구 온천천로 471  ,0,0,emart24
부산광역시 금정구 오시게로54번길 2  ,0,0,emart24
부산광역시 동래구 여고북로123번길 28  ,0,0,emart24
부산광역시 남구 동명로131번길 55  ,0,0,emart24
부산광역시 남구 분포로 113,0,0,emart24
부산광역시 남구 용호로216번가길 40 103호 ,0,0,emart24
부산광역시 북구 효열로 1 근린생활동 102호 ,0,0,emart24
부산광역시 남구 수영로 164,0,0,emart24
부산광역시 기장군 일광면 해송1로 33 상가동 205호 ,0,0,emart24
부산광역시 기장군 일광면 해빛2로 24 상가동 101-102호 ,0,0,emart24
부산광역시 기장군 일광면 해빛6로 99  ,0,0,emart24
부산광역시 기장군 일광면 해빛6로 61-13  ,0,0,emart24
부산광역시 기장군 일광면 해송4로 21  ,0,0,emart24
부산광역시 기장군 일광면 일역길 86-1  ,0,0,emart24
부산광역시 해운대구 해운대로781번길 16  ,0,0,emart24
부산광역시 기장군 장안읍 장안산단7로 10  ,0,0,emart24
부산광역시 금정구 중앙대로1719번길 23 101호 ,0,0,emart24
부산광역시 금정구 수림로75번길 2  ,0,0,emart24
부산광역시 해운대구 해운대로177번길 34  ,0,0,emart24
부산광역시 해운대구 재송2로28번길 39  ,0,0,emart24
부산광역시 부산진구 동천로 134  ,0,0,emart24
부산광역시 부산진구 서전로58번길 22  ,0,0,emart24
부산광역시 부산진구 진남로 354 1층 ,0,0,emart24
부산광역시 부산진구 전포대로186  ,0,0,emart24
부산광역시 기장군 정관읍 정관1로 18  ,0,0,emart24
부산광역시 기장군 정관읍 정관6로 31  ,0,0,emart24
부산광역시 동구 범일로 119  ,0,0,emart24
부산광역시 해운대구 세실로 19  ,0,0,emart24
부산광역시 사상구 가야대로 378  ,0,0,emart24
부산광역시 사상구 가야대로366번길 119  ,0,0,emart24
부산광역시 중구 동영로 101  ,0,0,emart24
부산광역시 동구 중앙대로 313  ,0,0,emart24
부산광역시 동구 중앙대로179번길 12  ,0,0,emart24
부산광역시 동구 중앙대로286번길 7-8  ,0,0,emart24
부산광역시 중구 중구로 154,0,0,emart24
부산광역시 해운대구 해운대해변로357번길 5-1 2층 201호 ,0,0,emart24
부산광역시 연제구 좌수영로 241  ,0,0,emart24
부산광역시 사하구 하신번영로 233 가락타운상가 227동 108~109호 ,0,0,emart24
부산광역시 사하구 낙동대로549번길 53  ,0,0,emart24
부산광역시 사하구 동매로 66  ,0,0,emart24
부산광역시 사하구 낙동대로563번안길 68,0,0,emart24
부산광역시 사하구 동매로29번길 17  ,0,0,emart24
부산광역시 사하구 하신번영로328번길 25  ,0,0,emart24
부산광역시 사하구 하신번영로 302  ,0,0,emart24
부산광역시 사상구 대동로 106  ,0,0,emart24
부산광역시 사상구 학감대로 105-21  ,0,0,emart24
부산광역시 기장군 기장읍 용궁길 62-7  ,0,0,emart24
부산광역시 영도구 태종로 727  ,0,0,emart24
부산광역시 영도구 태종로 727 해양대학교 산학허브관 ,0,0,emart24
부산광역시 영도구 태종로 727 한국해양대학교 어울림관 1층 ,0,0,emart24
부산광역시 해운대구 달맞이길117번가길 105  ,0,0,emart24
부산광역시 해운대구 대천로 103번길 47  ,0,0,emart24
부산광역시 해운대구 해운대로 540  ,0,0,emart24
부산광역시 해운대구 구남로 9 1층 104호 ,0,0,emart24
부산광역시 해운대구 해운대해변로 117 상기동 116호 ,0,0,emart24
부산광역시 해운대구 해운대로 723 마브러스오피스텔107호 ,0,0,emart24
부산광역시 해운대구 재반로 224-1  ,0,0,emart24
부산광역시 해운대구 해운대로 584  ,0,0,emart24
부산광역시 해운대구 해운대로 663  ,0,0,emart24
부산광역시 해운대구 센텀중앙로 145 상가2동 103-126-127호 ,0,0,emart24
부산광역시 해운대구 반송로 619  ,0,0,emart24
부산광역시 해운대구 해운대로570번길 46  ,0,0,emart24
부산광역시 해운대구 해운대해변로 203  ,0,0,emart24
부산광역시 해운대구 우동1로71번길 6-13  ,0,0,emart24
부산광역시 해운대구 중동2로34번길 6  ,0,0,emart24
부산광역시 해운대구 우동1로20번가길 31  ,0,0,emart24
부산광역시 해운대구 삼어로 55 분산상가동 101호 ,0,0,emart24
부산광역시 해운대구 우동2로 93  ,0,0,emart24
부산광역시 북구 금곡대로 228  ,0,0,emart24
부산광역시 강서구 화전산단4로30번길 25-16  ,0,0,emart24
부산광역시 해운대구 해운대로 601  ,0,0,emart24
부산광역시 강서구 범방3로72번길 21  ,0,0,emart24
부산광역시 강서구 호계로 7  ,0,0,emart24
부산광역시 사하구 사하로 189  ,0,0,emart24
부산광역시 해운대구 해운대해변로 292  ,0,0,emart24
부산광역시 기장군 기장읍 차성남로89번길 7  ,0,0,emart24
부산광역시 기장군 장안읍 해맞이로 243  ,0,0,emart24
"부산광역시 남구 수영로325번길 61 상가 102,103호 ",0,0,emart24
부산광역시 동구 범일로102번길 16-14  ,0,0,emart24
부산광역시 연제구 거제천로269번길 31  ,0,0,emart24
부산광역시 동래구 안연로 68  ,0,0,emart24
부산광역시 수영구 수영로606번길 126  ,0,0,emart24
부산광역시 강서구 명지국제8로 246 110호 ,0,0,emart24
부산광역시 강서구 미음산단로 137  ,0,0,emart24
부산광역시 해운대구 선수촌로 145  ,0,0,emart24
부산광역시 남구 용소로 45 부경대학교 가온관 ,0,0,emart24
부산광역시 서구 암남공원로 1  ,0,0,emart24
부산광역시 강서구 과학산단2로20번길 69  ,0,0,emart24
부산광역시 부산진구 새싹로 186  ,0,0,emart24
부산광역시 동래구 석사로 32  ,0,0,emart24
부산광역시 연제구 쌍미천로162번길 26  ,0,0,emart24
부산광역시 영도구 함지로 6  ,0,0,emart24
부산광역시 남구 전포대로 133 오슬로파크 116-120호 ,0,0,emart24
부산광역시 해운대구 청사포로 129  ,0,0,emart24
부산광역시 동구 중앙대로 240  ,0,0,emart24
부산광역시 강서구 공항진입로 165  ,0,0,emart24
부산광역시 강서구 낙동북로 294 대저역 역사안 ,0,0,emart24
부산광역시 사상구 광장로 83  ,0,0,emart24
부산광역시 연제구 거제대로 295  ,0,0,emart24
부산광역시 기장군 정관읍 정관중앙로 48  ,0,0,emart24
부산광역시 수영구 민락수변로 141  ,0,0,emart24
부산광역시 북구 만덕대로 72  ,0,0,emart24
부산광역시 사하구 장평로 242  ,0,0,emart24
부산광역시 해운대구 해운대로 794 108호 ,0,0,emart24
